"","pid","item","response"
"1","14139661","trees_find_out",3
"2","14139661","trees_water",3
"3","14139661","filler_travel",5
"4","14139661","filler_watch",1
"5","14139661","filler_pizza",2
"6","14139661","filler_sci",5
"7","14139662","trees_find_out",1
"8","14139662","trees_water",2
"9","14139662","filler_travel",7
"10","14139662","filler_watch",1
"11","14139662","filler_pizza",3
"12","14139662","filler_sci",4
"13","14139663","trees_find_out",6
"14","14139663","trees_water",6
"15","14139663","filler_travel",5
"16","14139663","filler_watch",1
"17","14139663","filler_pizza",5
"18","14139663","filler_sci",5
"19","14139664","trees_find_out",1
"20","14139664","trees_water",5
"21","14139664","filler_travel",3
"22","14139664","filler_watch",7
"23","14139664","filler_pizza",7
"24","14139664","filler_sci",7
"25","14139665","trees_find_out",5
"26","14139665","trees_water",6
"27","14139665","filler_travel",6
"28","14139665","filler_watch",1
"29","14139665","filler_pizza",6
"30","14139665","filler_sci",6
"31","14139666","trees_find_out",3
"32","14139666","trees_water",4
"33","14139666","filler_travel",5
"34","14139666","filler_watch",2
"35","14139666","filler_pizza",6
"36","14139666","filler_sci",2
"37","14139667","trees_find_out",3
"38","14139667","trees_water",3
"39","14139667","filler_travel",5
"40","14139667","filler_watch",1
"41","14139667","filler_pizza",6
"42","14139667","filler_sci",4
"43","14139668","trees_find_out",1
"44","14139668","trees_water",1
"45","14139668","filler_travel",7
"46","14139668","filler_watch",1
"47","14139668","filler_pizza",7
"48","14139668","filler_sci",5
"49","14139669","trees_find_out",5
"50","14139669","trees_water",5
"51","14139669","filler_travel",3
"52","14139669","filler_watch",2
"53","14139669","filler_pizza",4
"54","14139669","filler_sci",6
"55","14139670","trees_find_out",2
"56","14139670","trees_water",2
"57","14139670","filler_travel",5
"58","14139670","filler_watch",1
"59","14139670","filler_pizza",5
"60","14139670","filler_sci",3
"61","14139671","trees_find_out",2
"62","14139671","trees_water",3
"63","14139671","filler_travel",4
"64","14139671","filler_watch",1
"65","14139671","filler_pizza",2
"66","14139671","filler_sci",6
"67","14139672","trees_find_out",2
"68","14139672","trees_water",3
"69","14139672","filler_travel",5
"70","14139672","filler_watch",2
"71","14139672","filler_pizza",6
"72","14139672","filler_sci",6
"73","14139673","trees_find_out",5
"74","14139673","trees_water",3
"75","14139673","filler_travel",5
"76","14139673","filler_watch",2
"77","14139673","filler_pizza",5
"78","14139673","filler_sci",6
"79","14139674","trees_find_out",3
"80","14139674","trees_water",3
"81","14139674","filler_travel",6
"82","14139674","filler_watch",2
"83","14139674","filler_pizza",6
"84","14139674","filler_sci",3
"85","14139675","trees_find_out",3
"86","14139675","trees_water",3
"87","14139675","filler_travel",5
"88","14139675","filler_watch",3
"89","14139675","filler_pizza",5
"90","14139675","filler_sci",5
"91","14139676","trees_find_out",5
"92","14139676","trees_water",5
"93","14139676","filler_travel",5
"94","14139676","filler_watch",2
"95","14139676","filler_pizza",5
"96","14139676","filler_sci",6
"97","14139677","trees_find_out",1
"98","14139677","trees_water",1
"99","14139677","filler_travel",1
"100","14139677","filler_watch",1
"101","14139677","filler_pizza",1
"102","14139677","filler_sci",6
"103","14139678","trees_find_out",5
"104","14139678","trees_water",4
"105","14139678","filler_travel",6
"106","14139678","filler_watch",1
"107","14139678","filler_pizza",7
"108","14139678","filler_sci",6
"109","14139679","trees_find_out",3
"110","14139679","trees_water",3
"111","14139679","filler_travel",5
"112","14139679","filler_watch",4
"113","14139679","filler_pizza",6
"114","14139679","filler_sci",2
"115","14139680","trees_find_out",2
"116","14139680","trees_water",2
"117","14139680","filler_travel",7
"118","14139680","filler_watch",1
"119","14139680","filler_pizza",7
"120","14139680","filler_sci",5
"121","14139681","trees_find_out",1
"122","14139681","trees_water",5
"123","14139681","filler_travel",7
"124","14139681","filler_watch",1
"125","14139681","filler_pizza",6
"126","14139681","filler_sci",3
"127","14139682","trees_find_out",3
"128","14139682","trees_water",3
"129","14139682","filler_travel",2
"130","14139682","filler_watch",2
"131","14139682","filler_pizza",6
"132","14139682","filler_sci",6
"133","14139683","trees_find_out",5
"134","14139683","trees_water",5
"135","14139683","filler_travel",6
"136","14139683","filler_watch",1
"137","14139683","filler_pizza",7
"138","14139683","filler_sci",3
"139","14139685","trees_find_out",1
"140","14139685","trees_water",1
"141","14139685","filler_travel",5
"142","14139685","filler_watch",1
"143","14139685","filler_pizza",1
"144","14139685","filler_sci",1
"145","14139688","trees_find_out",2
"146","14139688","trees_water",1
"147","14139688","filler_travel",7
"148","14139688","filler_watch",3
"149","14139688","filler_pizza",7
"150","14139688","filler_sci",5
"151","14139689","trees_find_out",2
"152","14139689","trees_water",5
"153","14139689","filler_travel",6
"154","14139689","filler_watch",3
"155","14139689","filler_pizza",5
"156","14139689","filler_sci",7
"157","14139690","trees_find_out",4
"158","14139690","trees_water",4
"159","14139690","filler_travel",5
"160","14139690","filler_watch",1
"161","14139690","filler_pizza",5
"162","14139690","filler_sci",6
"163","14139692","trees_find_out",2
"164","14139692","trees_water",2
"165","14139692","filler_travel",5
"166","14139692","filler_watch",3
"167","14139692","filler_pizza",6
"168","14139692","filler_sci",5
"169","14139693","trees_find_out",5
"170","14139693","trees_water",1
"171","14139693","filler_travel",7
"172","14139693","filler_watch",1
"173","14139693","filler_pizza",6
"174","14139693","filler_sci",7
"175","14139694","trees_find_out",1
"176","14139694","trees_water",1
"177","14139694","filler_travel",7
"178","14139694","filler_watch",1
"179","14139694","filler_pizza",7
"180","14139694","filler_sci",7
"181","14139695","trees_find_out",6
"182","14139695","trees_water",6
"183","14139695","filler_travel",6
"184","14139695","filler_watch",1
"185","14139695","filler_pizza",5
"186","14139695","filler_sci",4
"187","14139698","trees_find_out",1
"188","14139698","trees_water",1
"189","14139698","filler_travel",6
"190","14139698","filler_watch",1
"191","14139698","filler_pizza",5
"192","14139698","filler_sci",6
"193","14139700","trees_find_out",7
"194","14139700","trees_water",7
"195","14139700","filler_travel",6
"196","14139700","filler_watch",1
"197","14139700","filler_pizza",5
"198","14139700","filler_sci",7
"199","14139701","trees_find_out",3
"200","14139701","trees_water",3
"201","14139701","filler_travel",5
"202","14139701","filler_watch",1
"203","14139701","filler_pizza",5
"204","14139701","filler_sci",3
"205","14139702","trees_find_out",5
"206","14139702","trees_water",2
"207","14139702","filler_travel",6
"208","14139702","filler_watch",1
"209","14139702","filler_pizza",5
"210","14139702","filler_sci",7
"211","14139703","trees_find_out",3
"212","14139703","trees_water",3
"213","14139703","filler_travel",6
"214","14139703","filler_watch",2
"215","14139703","filler_pizza",6
"216","14139703","filler_sci",5
"217","14139704","trees_find_out",3
"218","14139704","trees_water",5
"219","14139704","filler_travel",4
"220","14139704","filler_watch",3
"221","14139704","filler_pizza",5
"222","14139704","filler_sci",3
"223","14139706","trees_find_out",4
"224","14139706","trees_water",5
"225","14139706","filler_travel",6
"226","14139706","filler_watch",1
"227","14139706","filler_pizza",1
"228","14139706","filler_sci",6
"229","14139707","trees_find_out",1
"230","14139707","trees_water",1
"231","14139707","filler_travel",1
"232","14139707","filler_watch",1
"233","14139707","filler_pizza",5
"234","14139707","filler_sci",5
"235","14139708","trees_find_out",6
"236","14139708","trees_water",6
"237","14139708","filler_travel",7
"238","14139708","filler_watch",1
"239","14139708","filler_pizza",6
"240","14139708","filler_sci",3
"241","14139709","trees_find_out",7
"242","14139709","trees_water",7
"243","14139709","filler_travel",7
"244","14139709","filler_watch",1
"245","14139709","filler_pizza",6
"246","14139709","filler_sci",6
"247","14139710","trees_find_out",4
"248","14139710","trees_water",2
"249","14139710","filler_travel",6
"250","14139710","filler_watch",5
"251","14139710","filler_pizza",6
"252","14139710","filler_sci",3
"253","14139712","trees_find_out",3
"254","14139712","trees_water",4
"255","14139712","filler_travel",7
"256","14139712","filler_watch",1
"257","14139712","filler_pizza",2
"258","14139712","filler_sci",5
"259","14139714","trees_find_out",4
"260","14139714","trees_water",4
"261","14139714","filler_travel",7
"262","14139714","filler_watch",1
"263","14139714","filler_pizza",5
"264","14139714","filler_sci",5
"265","14139715","trees_find_out",4
"266","14139715","trees_water",3
"267","14139715","filler_travel",5
"268","14139715","filler_watch",1
"269","14139715","filler_pizza",6
"270","14139715","filler_sci",7
"271","14139717","trees_find_out",4
"272","14139717","trees_water",4
"273","14139717","filler_travel",4
"274","14139717","filler_watch",1
"275","14139717","filler_pizza",4
"276","14139717","filler_sci",7
"277","14139718","trees_find_out",5
"278","14139718","trees_water",4
"279","14139718","filler_travel",5
"280","14139718","filler_watch",2
"281","14139718","filler_pizza",5
"282","14139718","filler_sci",5
"283","14139719","trees_find_out",6
"284","14139719","trees_water",5
"285","14139719","filler_travel",6
"286","14139719","filler_watch",3
"287","14139719","filler_pizza",7
"288","14139719","filler_sci",6
"289","14139720","trees_find_out",7
"290","14139720","trees_water",7
"291","14139720","filler_travel",3
"292","14139720","filler_watch",1
"293","14139720","filler_pizza",7
"294","14139720","filler_sci",1
"295","14139721","trees_find_out",5
"296","14139721","trees_water",5
"297","14139721","filler_travel",7
"298","14139721","filler_watch",7
"299","14139721","filler_pizza",7
"300","14139721","filler_sci",5
"301","14139722","trees_find_out",2
"302","14139722","trees_water",3
"303","14139722","filler_travel",5
"304","14139722","filler_watch",1
"305","14139722","filler_pizza",5
"306","14139722","filler_sci",3
"307","14139724","trees_find_out",4
"308","14139724","trees_water",5
"309","14139724","filler_travel",5
"310","14139724","filler_watch",1
"311","14139724","filler_pizza",3
"312","14139724","filler_sci",5
"313","14139727","trees_find_out",2
"314","14139727","trees_water",2
"315","14139727","filler_travel",5
"316","14139727","filler_watch",2
"317","14139727","filler_pizza",5
"318","14139727","filler_sci",6
"319","14139731","trees_find_out",6
"320","14139731","trees_water",7
"321","14139731","filler_travel",6
"322","14139731","filler_watch",2
"323","14139731","filler_pizza",7
"324","14139731","filler_sci",6
"325","14139739","trees_find_out",7
"326","14139739","trees_water",5
"327","14139739","filler_travel",6
"328","14139739","filler_watch",1
"329","14139739","filler_pizza",5
"330","14139739","filler_sci",4
"331","14139743","trees_find_out",5
"332","14139743","trees_water",4
"333","14139743","filler_travel",6
"334","14139743","filler_watch",1
"335","14139743","filler_pizza",6
"336","14139743","filler_sci",5
"337","14139763","trees_find_out",3
"338","14139763","trees_water",2
"339","14139763","filler_travel",2
"340","14139763","filler_watch",6
"341","14139763","filler_pizza",6
"342","14139763","filler_sci",4
"343","14139774","trees_find_out",3
"344","14139774","trees_water",3
"345","14139774","filler_travel",7
"346","14139774","filler_watch",1
"347","14139774","filler_pizza",6
"348","14139774","filler_sci",7
"349","14139823","trees_find_out",3
"350","14139823","trees_water",4
"351","14139823","filler_travel",6
"352","14139823","filler_watch",5
"353","14139823","filler_pizza",5
"354","14139823","filler_sci",5
"355","14139839","trees_find_out",3
"356","14139839","trees_water",3
"357","14139839","filler_travel",6
"358","14139839","filler_watch",5
"359","14139839","filler_pizza",3
"360","14139839","filler_sci",3
