"","pid","age","gender_quantised","gender","income_quantised","income","live_dist","live_time","socialmed_platform_Bluesky","socialmed_platform_Discord","socialmed_platform_Facebook","socialmed_platform_Instagram","socialmed_platform_LinkedNn","socialmed_platform_Snapchat","socialmed_platform_TikTik","socialmed_platform_Twitter","socialmed_platform_WeChat","socialmed_platform_Whatsapp","socialmed_platform_YouTube","socialmed_time_quantised","socialmed_time","exposure_time","react","share","comment_made","comment","trees_find_out","trees_water","mem_acc_filler","mem_acc_trees","mem_rt_filler","mem_rt_trees"
"1","14139661",38,1,"Male",2,"£31,000 to £60,000",4,4,0,0,0,1,0,0,0,0,0,0,0,3,"10-30 mins ",2589.30000000112,0,0,0,NA,3,3,0.5,0.333333333333333,3709.69999999925,5456.19999999888
"2","14139662",44,2,"Female",2,"£31,000 to £60,000",20,3,0,0,1,1,0,0,0,0,0,1,0,5,"1 - 2 hours",20880.6,0,0,0,NA,1,2,0.5,0.5,5555.04999999404,4761.74999999702
"3","14139663",66,2,"Female",1,"£0 to £30,000",3,40,0,0,1,0,0,0,0,0,0,1,1,3,"10-30 mins ",44450.0000000003,1,0,0,NA,6,6,0.2,0.5,3824.60000000037,3580.50000000038
"4","14139664",35,1,"Male",3,"£61,000 to £90,000",1,3,0,0,1,1,0,1,1,1,0,1,1,7,"4 + hours",40616.999999997,1,1,0,NA,1,5,0.25,0.25,5164.80000000298,8565.6
"5","14139665",35,2,"Female",2,"£31,000 to £60,000",15,32,0,0,1,1,0,0,0,0,0,1,1,4,"30 mins - 1 hour",27745.6000000477,0,0,0,NA,5,6,1,0.75,3363.50000009537,3558.66666665077
"6","14139666",32,2,"Female",2,"£31,000 to £60,000",4,1,0,1,1,1,0,0,1,0,0,1,1,6,"3 - 4 hours",20680.3,1,0,0,NA,3,4,0.5,1,1793.09999999944,1650.47499999944
"7","14139667",33,2,"Female",3,"£61,000 to £90,000",10,6,0,0,1,1,0,0,0,0,0,1,1,4,"30 mins - 1 hour",9619.3,0,0,0,NA,3,3,0.5,0.6,2258.64999997616,2185.93333320617
"8","14139668",34,2,"Female",3,"£61,000 to £90,000",10,8,0,0,1,1,0,1,1,1,0,1,1,6,"3 - 4 hours",4255,0,0,0,NA,1,1,0.5,0.75,2539.00000002384,1737.36666671435
"9","14139669",36,1,"Male",3,"£61,000 to £90,000",3,10,0,0,1,1,0,0,0,0,0,1,1,4,"30 mins - 1 hour",9170.75999999999,0,0,0,NA,5,5,0.5,0.5,2103.99,4638.49
"10","14139670",30,2,"Female",4,"£91,000 to £120,000nse",15,1,0,0,1,1,0,1,1,0,0,1,1,5,"1 - 2 hours",8756.99999990463,1,0,0,NA,2,2,0.25,0.5,2734.60000009537,3235.55
"11","14139671",54,2,"Female",2,"£31,000 to £60,000",0,26,1,0,0,0,0,0,0,0,0,1,1,6,"3 - 4 hours",32316.3,0,0,0,NA,2,3,0.5,0.75,4832.64999988079,3770.36666652361
"12","14139672",43,2,"Female",1,"£0 to £30,000",5,40,0,0,1,1,0,0,0,0,0,1,1,4,"30 mins - 1 hour",10805.6000000119,0,0,0,NA,2,3,0.75,0.5,2655.93333334525,3249.80000001788
"13","14139673",46,2,"Female",1,"£0 to £30,000",1,15,0,0,1,0,0,0,0,0,0,0,1,6,"3 - 4 hours",27985.100000003,0,0,0,NA,5,3,0.75,1,2048.00000000198,1814.80000000522
"14","14139674",58,2,"Female",3,"£61,000 to £90,000",5,31,0,0,1,0,0,0,0,0,0,1,1,6,"3 - 4 hours",56253.900000006,1,0,0,NA,3,3,0.75,1,3693.33333331545,3335.29999999255
"15","14139675",47,1,"Male",2,"£31,000 to £60,000",12,18,0,0,1,0,0,0,0,0,0,0,1,3,"10-30 mins ",25911,0,0,0,NA,3,3,0.5,0.75,2399.5,4156.66666666667
"16","14139676",62,1,"Male",3,"£61,000 to £90,000",8,30,0,0,1,1,1,1,1,0,0,1,1,3,"10-30 mins ",6329.49999999403,0,0,0,NA,5,5,0.25,0.5,2798.79999998808,3338.74999999404
"17","14139677",49,1,"Male",1,"£0 to £30,000",1,7,0,0,1,1,0,0,0,0,0,1,1,3,"10-30 mins ",59641.26,1,0,0,NA,1,1,0,0.5,NA,3154.9
"18","14139678",29,2,"Female",2,"£31,000 to £60,000",3,2,0,0,0,1,0,0,0,0,0,1,0,5,"1 - 2 hours",28674.600000006,1,0,0,NA,5,4,0.5,0.25,2523.75,3460.99999998212
"19","14139679",32,2,"Female",3,"£61,000 to £90,000",2,15,0,0,1,1,1,0,0,0,0,1,0,5,"1 - 2 hours",17806.2999999993,0,1,0,NA,3,3,0.5,0.25,2781.75000000149,2652.5
"20","14139680",22,2,"Female",5,"£120,000+",5,22,0,0,0,1,0,1,1,0,0,0,1,5,"1 - 2 hours",434,0,0,0,NA,2,2,0.5,0.75,1475.5,2417
"21","14139681",65,2,"Female",3,"£61,000 to £90,000",10,4,0,0,1,0,0,0,0,0,0,0,0,2,"Under 10 mins",15471.64,0,0,0,NA,1,5,0.5,0.5,2640.32,3447.96
"22","14139682",66,1,"Male",2,"£31,000 to £60,000",2,20,0,0,1,0,0,0,0,1,0,0,1,4,"30 mins - 1 hour",67035.0999999523,1,0,0,NA,3,3,0.5,0.5,3174.0000000596,5142.20000005961
"23","14139683",49,2,"Female",5,"£120,000+",7,2,0,0,1,0,0,0,0,0,0,1,0,4,"30 mins - 1 hour",21093.5000000715,0,0,0,NA,5,5,0.25,0.5,2904.30000004768,3056.60000007152
"24","14139685",32,2,"Female",2,"£31,000 to £60,000",4,32,0,0,0,0,0,0,0,0,0,1,1,6,"3 - 4 hours",5096.50000000893,0,0,0,NA,1,1,0.75,0,5263.69999999603,NA
"25","14139688",41,2,"Female",1,"£0 to £30,000",20,1,0,0,1,1,0,0,1,0,0,1,1,5,"1 - 2 hours",2195.70000000019,0,0,0,NA,2,1,0.5,0.5,3082.29999999926,4096.69999999972
"26","14139689",53,1,"Male",1,"£0 to £30,000",7,13,0,0,1,1,0,0,0,1,0,0,1,6,"3 - 4 hours",77421.42,0,0,0,NA,2,5,1,0.25,5625.725,4202.54
"27","14139690",25,1,"Male",1,"£0 to £30,000",3,1,0,1,0,0,0,0,0,0,0,0,1,5,"1 - 2 hours",14765.1,1,0,0,NA,4,4,1,0.75,2430.705,3616.53333333333
"28","14139692",33,1,"Male",4,"£91,000 to £120,000nse",6,1,0,0,1,1,1,1,0,1,0,1,1,5,"1 - 2 hours",1187.90000000224,0,0,0,NA,2,2,0.5,0.5,1934.55000000186,2682.55000000186
"29","14139693",25,2,"Female",2,"£31,000 to £60,000",10,25,0,0,1,1,0,1,0,0,0,1,1,3,"10-30 mins ",56151.8000000045,1,0,0,NA,5,1,1,0.5,2858.72500000074,3528.50000000149
"30","14139694",49,1,"Male",1,"£0 to £30,000",20,40,0,0,0,0,0,0,0,0,0,1,1,5,"1 - 2 hours",16888.8,1,0,0,NA,1,1,0.25,0.75,2066,2843.26666666679
"31","14139695",37,2,"Female",3,"£61,000 to £90,000",10,37,0,0,1,0,0,0,0,0,0,1,0,5,"1 - 2 hours",50636,1,0,0,NA,6,6,0.75,1,4045,3907.5
"32","14139698",58,1,"Male",3,"£61,000 to £90,000",19,40,0,0,1,1,1,0,0,1,0,1,1,5,"1 - 2 hours",21098.8,0,0,0,NA,1,1,0.5,0.5,5192.09999999814,3838.9
"33","14139700",44,2,"Female",1,"£0 to £30,000",14,25,0,0,1,0,0,0,0,0,0,1,0,5,"1 - 2 hours",80022.86,0,0,0,NA,7,7,1,1,4807.75,9785.39999999999
"34","14139701",28,2,"Female",1,"£0 to £30,000",6,9,0,0,1,1,0,1,0,0,0,0,1,4,"30 mins - 1 hour",5501.50000000028,0,0,0,NA,3,3,0.75,0.5,3103.56666666685,3344.85000000005
"35","14139702",58,1,"Male",3,"£61,000 to £90,000",3,11,1,1,1,1,0,0,0,1,0,1,1,5,"1 - 2 hours",24951.1,1,0,0,NA,5,2,1,0.75,4751.62500000894,6121.63333332936
"36","14139703",53,1,"Male",1,"£0 to £30,000",16,13,0,0,1,0,0,0,0,1,0,0,1,5,"1 - 2 hours",30759.4000000008,1,0,0,NA,3,3,0.75,0.5,4568.63333333333,7377.74999999999
"37","14139704",43,1,"Male",2,"£31,000 to £60,000",4,13,0,0,1,0,0,0,0,0,0,1,1,4,"30 mins - 1 hour",12509.1999999996,0,0,0,NA,3,5,0.75,0.333333333333333,11799.7666666667,4141.39999999999
"38","14139706",43,1,"Male",2,"£31,000 to £60,000",20,11,0,0,1,0,0,0,0,1,1,1,1,5,"1 - 2 hours",15020.5,0,1,0,NA,4,5,0.25,0,3685.9,NA
"39","14139707",26,2,"Female",1,"£0 to £30,000",0,3,0,0,1,1,0,1,1,1,0,1,1,5,"1 - 2 hours",36225.4000000119,0,1,0,NA,1,1,0.666666666666667,0.666666666666667,3489.12500000894,2512.87500000298
"40","14139708",60,2,"Female",2,"£31,000 to £60,000",2,32,0,0,1,1,0,0,0,0,0,1,0,2,"Under 10 mins",36515.1,1,0,0,NA,6,6,0.75,1,3498.46666677793,2498.15000007153
"41","14139709",61,2,"Female",1,"£0 to £30,000",5,3,0,0,1,1,1,0,1,1,0,1,1,4,"30 mins - 1 hour",76271,0,1,0,NA,7,7,1,0.75,5515,5556.33333333333
"42","14139710",42,2,"Female",3,"£61,000 to £90,000",15,19,0,0,1,1,0,1,1,0,0,1,1,5,"1 - 2 hours",4628.79999999553,0,0,0,NA,4,2,0.25,0.25,4976.7,2573.69999999702
"43","14139712",67,2,"Female",1,"£0 to £30,000",4,18,0,0,1,0,0,0,0,0,0,1,0,5,"1 - 2 hours",67715.6999999523,1,0,0,NA,3,4,0.75,0.5,4182.46666673025,5530.85000009537
"44","14139714",50,2,"Female",2,"£31,000 to £60,000",13,21,0,0,1,1,0,0,0,0,0,1,1,5,"1 - 2 hours",11918.0000000954,0,1,0,NA,4,4,0.5,0.5,3125.15000004768,3892.80000001192
"45","14139715",54,1,"Male",1,"£0 to £30,000",4,40,0,0,1,0,0,0,0,1,0,1,1,4,"30 mins - 1 hour",88428.9,1,0,0,NA,4,3,0.5,1,8546.79999998808,5585.62500002384
"46","14139717",40,2,"Female",2,"£31,000 to £60,000",10,5,0,0,0,0,0,0,0,1,0,0,1,2,"Under 10 mins",4614.10000000037,0,0,0,NA,4,4,0.6,0.6,3286.70000000074,4579.56666666741
"47","14139718",39,1,"Male",2,"£31,000 to £60,000",4,3,0,0,1,1,0,0,0,0,0,1,1,5,"1 - 2 hours",30019.9000000477,0,0,0,NA,5,4,0.5,0.5,5574.8499999404,6261.54999995232
"48","14139719",30,2,"Female",3,"£61,000 to £90,000",0,2,0,0,1,1,1,1,1,1,0,1,1,7,"4 + hours",7760.19999999995,0,0,0,NA,6,5,0.75,0.25,6389.39999999938,7476.19999999963
"49","14139720",49,2,"Female",2,"£31,000 to £60,000",1,2,0,0,1,1,0,1,1,1,0,1,1,5,"1 - 2 hours",27917.499999997,1,0,0,NA,7,7,0.25,0.25,3022.49999999702,4761.6
"50","14139721",25,1,"Male",3,"£61,000 to £90,000",5,25,0,1,0,0,0,1,0,1,0,1,1,7,"4 + hours",2472.09999999998,0,0,0,NA,5,5,0.75,0.25,1869.55333333333,1369.04
"51","14139722",56,1,"Male",2,"£31,000 to £60,000",7,1,0,0,1,1,0,0,0,0,0,0,0,5,"1 - 2 hours",46300.4000000477,1,0,0,NA,2,3,0.75,1,4460.43333319028,3266.89999995232
"52","14139724",60,2,"Female",1,"£0 to £30,000",2,26,0,0,0,1,0,0,0,0,0,0,0,2,"Under 10 mins",18715.1,0,0,0,NA,4,5,0.75,0.75,4296.03333333929,3859.43333333731
"53","14139727",25,1,"Male",4,"£91,000 to £120,000nse",5,14,0,1,1,1,0,1,0,0,0,1,1,5,"1 - 2 hours",3370.60000004769,0,0,0,NA,2,2,0,0.25,NA,2966.2
"54","14139731",42,2,"Female",2,"£31,000 to £60,000",2,3,0,0,1,1,0,0,1,0,0,1,1,6,"3 - 4 hours",30123.8999999911,1,0,0,NA,6,7,0.75,0.75,2813.23333333333,3222.49999999503
"55","14139739",20,1,"Male",2,"£31,000 to £60,000",2,20,0,1,0,1,0,0,1,0,0,0,1,7,"4 + hours",430695.099999976,1,0,0,NA,7,5,0.25,0.25,174.899999988076,261.300000011921
"56","14139743",37,2,"Female",2,"£31,000 to £60,000",3,7,0,0,1,0,0,0,0,0,0,1,1,6,"3 - 4 hours",40400.4999999881,0,0,0,NA,5,4,0.75,1,3869.96666667064,4151.1250000298
"57","14139763",33,1,"Male",4,"£91,000 to £120,000nse",5,27,0,0,0,1,0,1,1,1,0,1,1,5,"1 - 2 hours",6690.39999999967,0,0,0,NA,3,2,0.666666666666667,0.666666666666667,2290.45000001191,4340.025
"58","14139774",40,1,"Male",2,"£31,000 to £60,000",4,10,0,0,1,1,0,0,0,0,0,1,1,2,"Under 10 mins",20570.0000000179,0,0,0,NA,3,3,0.5,0.5,3613.79999999702,3633.74999999404
"59","14139823",48,2,"Female",3,"£61,000 to £90,000",3,15,0,0,1,0,0,1,0,0,0,1,1,4,"30 mins - 1 hour",12157,0,0,0,NA,3,4,0.75,0.5,2896.33333333333,4191
"60","14139839",66,1,"Male",2,"£31,000 to £60,000",8,14,0,1,1,0,0,0,0,1,0,1,1,6,"3 - 4 hours",9348.79999999997,0,0,0,NA,3,3,1,0.75,4276.25000000894,3659.8666666766
